key,translation,options,desc_en,desc_vi,chapter,status,notes
"coca-cola"                                    , "Coca-Cola"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"community supported agriculture"              , "Community Supported Agriculture"              , "", "", "", 14, "approved", "Tên riêng, không dịch"
"computer-aided design"                        , "computer-aided design"                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"computer-aided manufacture"                   , "computer-aided manufacture"                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"constant contact"                             , "Constant Contact"                             , "", "", "", 14, "approved", "Tên riêng, không dịch"
"contract"                                     , "contract"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"copyright"                                    , "bản quyền"                                    , "bản quyền", "grants the creator of a work the exclusive right to reproduce the work", "typically for a specified period of time", 14, "approved", ""
"cost of goods sold"                           , "cost of goods sold"                           , "", "", "", 14, "approved", "Tên riêng, không dịch"
"cpa"                                          , "CPA"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"crowdfunding"                                 , "crowdfunding"                                 , "", "", "", 14, "approved", "Tên riêng, không dịch"
"current asset value"                          , "current asset value"                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"decision tree"                                , "cây quyết định"                               , "cây quyết định", "flowchart diagram used to explore the outcomes of different decisions", "sơ đồ dạng lưu đồ được sử dụng để khám phá các kết quả của những quyết định khác nhau", 14, "approved", ""
"decline/rebirth phase"                        , "Decline/Rebirth Phase"                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"design patent"                                , "design patent"                                , "", "", "", 14, "approved", "Tên riêng, không dịch"
"draw.io"                                      , "Draw.io"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"dropbox"                                      , "Dropbox"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"earle"                                        , "Earle"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"economic factors"                             , "các yếu tố kinh tế"                           , "các yếu tố kinh tế", "inflation, interest, employment, and currency exchange rates, (among many other factors) that impact the business owner’s pricing of goods or services, the demand for such services, and the cost of production", "các yếu tố như lạm phát, lãi suất, việc làm và tỷ giá hối đoái (cùng nhiều yếu tố khác) ảnh hưởng đến việc định giá hàng hóa hoặc dịch vụ của chủ doanh nghiệp, nhu cầu đối với các dịch vụ đó và chi phí sản xuất", 14, "approved", ""
"emerson"                                      , "Emerson"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"employee handbook"                            , "employee handbook"                            , "", "", "", 14, "approved", "Tên riêng, không dịch"
"environmental protection agency (epa)"        , "Environmental Protection Agency (EPA)"        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"epa"                                          , "EPA"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"equity"                                       , "equity"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"facebook"                                     , "Facebook"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"federal aviation administration (faa)"        , "Federal Aviation Administration (FAA)"        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"fresh books"                                  , "FRESH Books"                                  , "", "", "", 14, "approved", "Tên riêng, không dịch"
"funding resources"                           , "nguồn tài trợ"                            , "nguồn tài trợ", "financial resources available to entrepreneurs to start, maintain, or grow a business, including loans, grants, equity, crowdfunding, and personal savings","các nguồn lực tài chính sẵn có cho doanh nhân để khởi nghiệp, duy trì hoặc phát triển doanh nghiệp, bao gồm vay vốn, trợ cấp, vốn chủ sở hữu, gọi vốn cộng đồng và tiết kiệm cá nhân", 14, "approved", ""
"gap"                                          , "Gap"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"geico"                                        , "GEICO"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"godaddy bookkeeping"                          , "GoDaddy Bookkeeping"                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"google"                                       , "Google"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"grants"                                       , "grants"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"graves"                                       , "Graves"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"growth phase"                                 , "growth phase"                                 , "", "", "", 14, "approved", "Tên riêng, không dịch"
"hagler"                                       , "Hagler"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"hootsuite"                                    , "Hootsuite"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"human resources"                              , "nguồn nhân lực"                               , "nguồn nhân lực", "people hired by the entrepreneur to perform various duties in the business, provide customer service, or produce the goods", "những người được doanh nhân tuyển dụng để thực hiện các nhiệm vụ khác nhau trong doanh nghiệp, cung cấp dịch vụ khách hàng hoặc sản xuất hàng hóa", 14, "approved", ""
"icon"                                         , "ICON"                                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"independent contractors"                      , "nhà thầu độc lập"                             , "nhà thầu độc lập", "(also, freelancer) people or businesses that provide work similar to an employee without being part of the payroll for the contracting business, and who pay their own taxes and pay for their own benefits", "(còn gọi là freelancer) các cá nhân hoặc doanh nghiệp cung cấp công việc tương tự như nhân viên nhưng không thuộc biên chế trả lương của doanh nghiệp thuê họ, và tự chịu trách nhiệm nộp thuế cũng như chi trả các phúc lợi của mình", 14, "approved", ""
"intangible resources"                         , "nguồn lực vô hình"                            , "nguồn lực vô hình", "assets that cannot be seen, touched, or felt, such as intellectual property, patents, designs, and processes", "các tài sản không thể nhìn thấy, chạm vào hoặc cảm nhận được, như tài sản trí tuệ, bằng sáng chế, thiết kế và quy trình", 14, "approved", ""
"intellectual property"                        , "Intellectual property"                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"internal revenue service (irs)"               , "Internal Revenue Service (IRS)"               , "", "", "", 14, "approved", "Tên riêng, không dịch"
"investors"                                    , "investors"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"iphone"                                       , "iPhone"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"jcpenney"                                     , "JCPenney"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"jobs act"                                     , "JOBS Act"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"johnny cupcakes"                              , "Johnny Cupcakes"                              , "", "", "", 14, "approved", "Tên riêng, không dịch"
"joint venture"                                , "joint venture"                                , "", "", "", 14, "approved", "Tên riêng, không dịch"
"kashoo"                                       , "Kashoo"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"kelley blue book"                             , "Kelley Blue Book"                             , "", "", "", 14, "approved", "Tên riêng, không dịch"
"kentucky fried chicken"                       , "Kentucky Fried Chicken"                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"lafci"                                        , "Lafci"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"library of congress"                          , "Library of Congress"                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"light and motion"                             , "Light and Motion"                             , "", "", "", 14, "approved", "Tên riêng, không dịch"
"line of credit"                               , "hạn mức tín dụng"                             , "hạn mức tín dụng", "lending of funds in exchange for a promise to repay", "việc cho vay vốn để đổi lấy cam kết hoàn trả", 14, "approved", ""
"linkedin"                                     , "LinkedIn"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"macy’s"                                       , "Macy’s"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"mail chimp"                                   , "Mail Chimp"                                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"marketo"                                      , "Marketo"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"marshall"                                     , "Marshall"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"maturity phase"                               , "Maturity Phase"                               , "", "", "", 14, "approved", "Tên riêng, không dịch"
"mcdonald’s"                                   , "McDonald’s"                                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"mentors"                                      , "Mentors"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"microsoft"                                    , "Microsoft"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"microsoft excel"                              , "Microsoft Excel"                              , "", "", "", 14, "approved", "Tên riêng, không dịch"
"microsoft powerpoint"                         , "Microsoft PowerPoint"                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"microsoft word"                               , "Microsoft Word"                               , "", "", "", 14, "approved", "Tên riêng, không dịch"
"modcloth"                                     , "ModCloth"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"national aeronautics and space administration", "National Aeronautics and Space Administration", "", "", "", 14, "approved", "Tên riêng, không dịch"
"national science foundation"                  , "National Science Foundation"                  , "", "", "", 14, "approved", "Tên riêng, không dịch"
"new story"                                    , "New Story"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"nike"                                         , "Nike"                                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"nintendo"                                     , "Nintendo"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"noguera"                                      , "Noguera"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"nolo"                                         , "Nolo"                                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"occupational safety and hazard association"   , "Occupational Safety and Hazard Association"   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"outsourcing"                                  , "thuê ngoài"                                   , "thuê ngoài", "hiring an outside company or third party to perform a specific task, job, or process, or to manufacture goods", "việc thuê một công ty bên ngoài hoặc bên thứ ba để thực hiện một nhiệm vụ, công việc hoặc quy trình cụ thể, hoặc để sản xuất hàng hóa", 14, "approved", ""
"patent"                                       , "patent"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"payless"                                      , "Payless"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"pest framework"                               , "mô hình PEST"                                 , "mô hình PEST", "framework that can be used to distinguish political, economic, sociocultural, and technological factors influencing access to needed resources", "mô hình được sử dụng để phân biệt các yếu tố chính trị, kinh tế, xã hội–văn hóa và công nghệ ảnh hưởng đến khả năng tiếp cận các nguồn lực cần thiết", 14, "approved", ""
"piece price"                                  , "piece price"                                  , "", "", "", 14, "approved", "Tên riêng, không dịch"
"pipeline angels"                              , "Pipeline Angels"                              , "", "", "", 14, "approved", "Tên riêng, không dịch"
"plant patent"                                 , "plant patent"                                 , "", "", "", 14, "approved", "Tên riêng, không dịch"
"polaroid"                                     , "Polaroid"                                     , "", "", "", 14, "approved", "Tên riêng, không dịch"
"political factors"                            , "các yếu tố chính trị"                         , "các yếu tố chính trị", "stem from changes in politics, such as the policies of a new presidential administration or congressional legislation, as well as of state and local offices", "phát sinh từ những thay đổi trong chính trị, chẳng hạn như các chính sách của chính quyền mới hoặc các đạo luật của cơ quan lập pháp, cũng như từ cấp bang và địa phương", 14, "approved", ""
"pre-launch costs"                             , "chi phí trước khi ra mắt"                     , "chi phí trước khi ra mắt", "cost of all the resources needed to open the business to the public", "chi phí của toàn bộ các nguồn lực cần thiết để đưa doanh nghiệp ra hoạt động công khai", 14, "approved", ""
"private label"                                , "private label"                                , "", "", "", 14, "approved", "Tên riêng, không dịch"
"product-based business"                       , "product-based business"                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"prototyping"                                  , "prototyping"                                  , "", "", "", 14, "approved", "Tên riêng, không dịch"
"quickbooks"                                   , "QuickBooks"                                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"quotas"                                       , "hạn ngạch"                                 , "hạn ngạch", "specific number of units allowed into a country; sometimes quotas are limited to one source, such as one country, and sometimes the limit is placed on aggregate quantity regardless of source(s)","số lượng đơn vị cụ thể được phép nhập khẩu vào một quốc gia; đôi khi hạn ngạch được giới hạn cho một nguồn, chẳng hạn như một quốc gia, và đôi khi giới hạn được áp dụng cho tổng lượng bất kể nguồn", 14, "approved", ""
"qvc"                                          , "QVC"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"radio shack"                                  , "Radio Shack"                                  , "", "", "", 14, "approved", "Tên riêng, không dịch"
"red hen bakery"                               , "Red Hen Bakery"                               , "", "", "", 14, "approved", "Tên riêng, không dịch"
"resource dependence theory (rdt) model"       , "mô hình lý thuyết phụ thuộc nguồn lực (RDT)"  , "mô hình lý thuyết phụ thuộc nguồn lực (RDT)", "model creating networks with business partners through mergers, vertical integration, joint ventures, or engaging in joint political activities to slow dependency among member groups", "mô hình tạo lập mạng lưới với các đối tác kinh doanh thông qua sáp nhập, tích hợp dọc, liên doanh hoặc tham gia các hoạt động chính trị chung nhằm giảm sự phụ thuộc giữa các nhóm thành viên", 14, "approved", ""
"salesforce"                                   , "Salesforce"                                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"samsung"                                      , "Samsung"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"sba"                                          , "SBA"                                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"score"                                        , "SCORE"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"sears"                                        , "Sears"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"senior core of retired executives"            , "Senior Core of Retired Executives"            , "", "", "", 14, "approved", "Tên riêng, không dịch"
"service mark"                                 , "nhãn hiệu dịch vụ"                            , "nhãn hiệu dịch vụ", "word, phrase, symbol, or graphic that identifies the origin or source of a service", "từ, cụm từ, biểu tượng hoặc hình ảnh xác định nguồn gốc của một dịch vụ", 14, "approved", ""
"service-based business"                       , "service-based business"                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"skype"                                        , "Skype"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"small business association (sba)"             , "Small Business Association (SBA)"             , "", "", "", 14, "approved", "Tên riêng, không dịch"
"small business development center"            , "Small Business Development Center"            , "", "", "", 14, "approved", "Tên riêng, không dịch"
"small business innovation research program"   , "Small Business Innovation Research Program"   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"small business technology transfer program"   , "Small Business Technology Transfer Program"   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"sociocultural factors"                        , "các yếu tố xã hội–văn hóa"                    , "các yếu tố xã hội–văn hóa", "changes in how society is moving and the direction of that movement as it relates to a customer base and potential new markets", "những thay đổi trong cách xã hội vận động và hướng đi của sự vận động đó liên quan đến tập khách hàng và các thị trường tiềm năng mới", 14, "approved", ""
"starbucks"                                    , "Starbucks"                                    , "", "", "", 14, "approved", "Tên riêng, không dịch"
"startup phase"                                , "startup phase"                                , "", "", "", 14, "approved", "Tên riêng, không dịch"
"tangible resources"                           , "nguồn lực hữu hình"                           , "nguồn lực hữu hình", "assets that have a physical form as they can be seen, touched, and felt", "các tài sản có hình thái vật lý, có thể nhìn thấy, chạm và cảm nhận", 14, "approved", ""
"tariffs"                                      , "thuế quan"                                    , "thuế quan", "taxes or duties that are added to imported goods from another nation", "các loại thuế hoặc phí áp dụng lên hàng hóa nhập khẩu từ quốc gia khác", 14, "approved", ""
"tax cuts and jobs act"                        , "Tax Cuts and Jobs Act"                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"technological factors"                        , "các yếu tố công nghệ"                         , "các yếu tố công nghệ", "technological equipment and tools the enterprise needs to be sure it operates efficiently", "các thiết bị và công cụ công nghệ mà doanh nghiệp cần để đảm bảo hoạt động hiệu quả", 14, "approved", ""
"trademark"                                    , "nhãn hiệu"                                    , "nhãn hiệu", "registration that provides the owner the ability to use a name", "symbol", 14, "approved", ""
"uattend"                                      , "UAttend"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"upwork"                                       , "UpWork"                                       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"us bureau of labor"                           , "US Bureau of Labor"                           , "", "", "", 14, "approved", "Tên riêng, không dịch"
"us copyright office"                          , "US Copyright Office"                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"us patent and trademark office (uspto)"       , "US Patent and Trademark Office (USPTO)"       , "", "", "", 14, "approved", "Tên riêng, không dịch"
"useful life"                                  , "useful life"                                  , "", "", "", 14, "approved", "Tên riêng, không dịch"
"uspto"                                        , "USPTO"                                        , "", "", "", 14, "approved", "Tên riêng, không dịch"
"utility patent"                               , "utility patent"                               , "", "", "", 14, "approved", "Tên riêng, không dịch"
"venture capitalists"                          , "Venture capitalists"                          , "", "", "", 14, "approved", "Tên riêng, không dịch"
"verizon"                                      , "Verizon"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"vertical integration"                         , "vertical integration"                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"victoria’s secret"                            , "Victoria’s Secret"                            , "", "", "", 14, "approved", "Tên riêng, không dịch"
"visa"                                         , "Visa"                                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
"walmart"                                      , "Walmart"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"y combinator"                                 , "Y Combinator"                                 , "", "", "", 14, "approved", "Tên riêng, không dịch"
"youtube"                                      , "YouTube"                                      , "", "", "", 14, "approved", "Tên riêng, không dịch"
"zoho books"                                   , "ZOHO Books"                                   , "", "", "", 14, "approved", "Tên riêng, không dịch"
"zoom"                                         , "Zoom"                                         , "", "", "", 14, "approved", "Tên riêng, không dịch"
