key,translation,options,desc_en,desc_vi,chapter,status,notes
jibo                                       ," ""Jibo""                                       "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
kantar                                     ," ""Kantar""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
kelley                                     ," ""Kelley""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
kirton                                     ," ""Kirton""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
kirton adaption-innovation (kai) inventory ," ""Kirton Adaption-Innovation (KAI) Inventory"" "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
lean manufacturing                         ," ""lean manufacturing""                         "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
lean problem-solving process               ," ""lean problem-solving process""               "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
lean process                               ," ""quy trình tinh gọn""                         "," ""quy trình tinh gọn"""," ""systematic process for the maximizing of continuous improvement and the minimization of surplus or unused material in the production of a process"""," ""quy trình có hệ thống nhằm tối đa hóa cải tiến liên tục và giảm thiểu phần dư thừa hoặc vật liệu không được sử dụng trong quá trình sản xuất""", 6," ""approved"""," """""
lidey                                      ," ""Lidey""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
luma institute                             ," ""LUMA Institute""                             "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
makerbot                                   ," ""MakerBot""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
mcbean                                     ," ""McBean""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
mechanical turk                            ," ""Mechanical Turk""                            "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
microloans                                 ," ""Microloans""                                 "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
motorola                                   ," ""Motorola""                                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
need awareness                             ," ""nhận thức nhu cầu""                          "," ""nhận thức nhu cầu"""," ""occurs when the entrepreneur notes a gap between societal or customer needs and actual circumstances"""," ""xảy ra khi doanh nhân nhận thấy khoảng cách giữa nhu cầu của xã hội hoặc khách hàng và thực tế hiện tại""", 6," ""approved"""," """""
nesta                                      ," ""Nesta""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
network                                    ," ""network""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
networking                                 ," ""Networking""                                 "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
new balance company                        ," ""New Balance Company""                        "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
observation                                ," ""quan sát""                                   "," ""quan sát"""," ""lean problem-solving process phase in which the entrepreneur studies the challenge and notes all facets of the challenge requiring solution"""," ""giai đoạn trong quy trình giải quyết vấn đề tinh gọn"," trong đó doanh nhân nghiên cứu thách thức và ghi nhận tất cả các khía cạnh của vấn đề cần được giải quyết""", 6," ""approved"""
pepsico                                    ," ""PepsiCo""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
petitioner problem solvers                 ," ""người tìm kiếm giải pháp từ người khác""     "," ""người tìm kiếm giải pháp từ người khác"""," ""problem solvers who see a problem and ask others for solution ideas"""," ""những người giải quyết vấn đề nhận thấy một vấn đề và tìm kiếm ý tưởng giải pháp từ người khác""", 6," ""approved"""," """""
powell                                     ," ""Powell""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
predictive analytics                       ," ""predictive analytics""                       "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
problem solving                            ," ""Problem solving""                            "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
process excellence                         ," ""Process Excellence""                         "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
resourcefulness                            ," ""tính tháo vát""                              "," ""tính tháo vát"""," ""ability to discover clever solutions to obstacles"""," ""khả năng tìm ra các giải pháp sáng tạo và hiệu quả cho các trở ngại""", 6," ""approved"""," """""
schurr                                     ," ""Schurr""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
self-regulating problem solvers            ," ""người giải quyết vấn đề tự chủ""             "," ""người giải quyết vấn đề tự chủ"""," ""problem solvers who are autonomous and work on their own", without external influence; they have the ability to see a problem, immediately visualize a possible solution to the problem," and seek to devise a solution"""," ""những người giải quyết vấn đề có tính tự chủ và làm việc độc lập"
service corps of retired executives (score)," ""Service Corps of Retired Executives (SCORE)"""," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
shine                                      ," ""Shine""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
shine talks                                ," ""Shine Talks""                                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
six sigma                                  ," ""Six Sigma""                                  "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
small business administration (sba)        ," ""Small Business Administration (SBA)""        "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
spanx                                      ," ""Spanx""                                      "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
stanford design school                     ," ""Stanford Design School""                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
sterett                                    ," ""Sterett""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
storyboarding                              ," ""xây dựng bảng phân cảnh""                    "," ""xây dựng bảng phân cảnh"""," ""process of presenting an idea in a step-by-step graphic format"""," ""quá trình trình bày một ý tưởng dưới dạng hình ảnh theo từng bước""", 6," ""approved"""," """""
strategyzer                                ," ""Strategyzer""                                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
strong ties                                ," ""Strong ties""                                "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
taaluma totes                              ," ""Taaluma Totes""                              "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
team creativity                            ," ""sáng tạo nhóm""                              "," ""sáng tạo nhóm"""," ""process of a team creating an unexpected solution for an issue or challenge"""," ""quá trình một nhóm tạo ra một giải pháp bất ngờ cho một vấn đề hoặc thách thức""", 6," ""approved"""," """""
theorist problem solvers                   ," ""người giải quyết vấn đề theo lý thuyết""     "," ""người giải quyết vấn đề theo lý thuyết"""," ""problem solvers who see a problem and begin to consider a path toward solving the problem using a theory"""," ""những người giải quyết vấn đề nhận thấy một vấn đề và bắt đầu xem xét một hướng giải quyết dựa trên lý thuyết""", 6," ""approved"""," """""
toyoda                                     ," ""Toyoda""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
toyota                                     ," ""Toyota""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
toyota motor corporation                   ," ""Toyota Motor Corporation""                   "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
twitter                                    ," ""Twitter""                                    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
united nations children’s fund (unicef)    ," ""United Nations Children’s Fund (UNICEF)""    "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
ups                                        ," ""UPS""                                        "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
vital vio                                  ," ""Vital Vio""                                  "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
weak ties                                  ," ""Weak ties""                                  "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
whiteboarding                              ," ""phác thảo trên bảng trắng""                  "," ""phác thảo trên bảng trắng"""," ""type of graphing that permits the entrepreneur to plot each step in a process to build comprehension and detailing of the process"""," ""một dạng sơ đồ hóa cho phép doanh nhân vạch ra từng bước trong một quy trình nhằm nâng cao sự hiểu biết và chi tiết hóa quy trình""", 6," ""approved"""," """""
witkin                                     ," ""Witkin""                                     "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
zuckerberg                                 ," ""Zuckerberg""                                 "," """""," """""," """"", 6," ""approved"""," ""Tên riêng"
