key,translation,options,desc_en,desc_vi,chapter,status,notes
"elevator pitch"                                       , "bài pitch ngắn (elevator pitch)"                      , "bài pitch ngắn (elevator pitch)", "abbreviated pitch, a memorized talk that can get you into the door to put your full pitch deck on display", "một bài pitch rút gọn, được ghi nhớ trước, có thể giúp bạn mở ra cơ hội trình bày đầy đủ bộ slide pitch deck của mình", 7, "approved", ""
"empowerment through integration (eti)"                , "Empowerment Through Integration (ETI)"                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"entrepreneur.com"                                     , "Entrepreneur.com"                                     , "", "", "", 7, "approved", "Tên riêng, không dịch"
"entrepreneurial contest"                              , "cuộc thi khởi nghiệp"                                 , "cuộc thi khởi nghiệp", "any entrepreneurial competition other than a pitch competition; contests may entail submitting business models, long-form prospectuses, or forms tailored to contest specifications", "bất kỳ cuộc thi khởi nghiệp nào ngoài cuộc thi pitch; các cuộc thi này có thể yêu cầu nộp mô hình kinh doanh, bản kế hoạch chi tiết hoặc các biểu mẫu theo yêu cầu cụ thể của cuộc thi", 7, "approved", ""
"fear of missing out (fomo)"                           , "hội chứng sợ bị bỏ lỡ (FOMO)"                         , "hội chứng sợ bị bỏ lỡ (FOMO)", "need to keep up with peers and the personas they represent in social settings, particularly on social media", "nhu cầu phải theo kịp bạn bè và hình ảnh mà họ thể hiện trong các bối cảnh xã hội, đặc biệt là trên mạng xã hội", 7, "approved", ""
"graphic user interface (gui)"                         , "graphic user interface (GUI)"                         , "", "", "", 7, "approved", "Tên riêng, không dịch"
"gw new venture competition"                           , "GW New Venture Competition"                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"hewlett"                                              , "Hewlett"                                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"hewlett-packard corporation (hp)"                     , "Hewlett-Packard Corporation (HP)"                     , "", "", "", 7, "approved", "Tên riêng, không dịch"
"hq raleigh"                                           , "HQ Raleigh"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"iceberg principle"                                    , "nguyên tắc tảng băng trôi"                            , "nguyên tắc tảng băng trôi", "writing principle useful for preparing contest documents and pitch decks; following this principle, each word or sentence in the submission or presentation should be backed up with a wealth of supporting information and details that go unspoken in the pitch or proposal, but which you have at the ready should an investor take interest in the details and your knowledge of them", "nguyên tắc viết hữu ích trong việc chuẩn bị tài liệu dự thi và pitch deck; theo nguyên tắc này, mỗi từ hoặc câu trong bài trình bày hoặc tài liệu phải được hỗ trợ bởi một lượng lớn thông tin và chi tiết nền tảng không được nói ra trong bài pitch hoặc đề xuất, nhưng bạn phải sẵn sàng cung cấp khi nhà đầu tư quan tâm đến chi tiết và kiến thức của bạn", 7, "approved", ""
"ideation"                                             , "quá trình hình thành ý tưởng"                         , "quá trình hình thành ý tưởng", "purposeful process of opening up one’s mind to new trains of thought that branch out in many directions from a stated purpose or problem", "quá trình có chủ đích nhằm mở rộng tư duy sang các hướng suy nghĩ mới, phát triển theo nhiều hướng khác nhau từ một mục tiêu hoặc vấn đề đã xác định", 7, "approved", ""
"ikea"                                                 , "IKEA"                                                 , "", "", "", 7, "approved", "Tên riêng, không dịch"
"individual investors"                                 , "Individual investors"                                 , "", "", "", 7, "approved", "Tên riêng, không dịch"
"information and communication technologies (icts)"    , "information and communication technologies (ICTs)"    , "", "", "", 7, "approved", "Tên riêng, không dịch"
"intellectual property"                                , "Intellectual property"                                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"jobs"                                                 , "Jobs"                                                 , "", "", "", 7, "approved", "Tên riêng, không dịch"
"john deere company"                                   , "John Deere Company"                                   , "", "", "", 7, "approved", "Tên riêng, không dịch"
"lululemon athletica"                                  , "Lululemon Athletica"                                  , "", "", "", 7, "approved", "Tên riêng, không dịch"
"march of dimes"                                       , "March of Dimes"                                       , "", "", "", 7, "approved", "Tên riêng, không dịch"
"minkara"                                              , "Minkara"                                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"mission statement"                                    , "tuyên bố sứ mệnh"                                     , "tuyên bố sứ mệnh", "statement of an organization’s reason for being that defines its primary long-term goal, explains what the venture will do, what value it will provide to the end customer, and how it will accomplish that action", "tuyên bố về lý do tồn tại của tổ chức, xác định mục tiêu dài hạn, mô tả doanh nghiệp sẽ làm gì, tạo ra giá trị gì cho khách hàng và cách thức thực hiện", 7, "approved", ""
"netflix"                                              , "Netflix"                                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"niantic, inc"                                         , "Niantic, Inc"                                         , "", "", "", 7, "approved", "Tên riêng, không dịch"
"nike"                                                 , "Nike"                                                 , "", "", "", 7, "approved", "Tên riêng, không dịch"
"noncompete agreement"                                 , "thỏa thuận không cạnh tranh"                          , "thỏa thuận không cạnh tranh", "formal agreement that the person signing the document will not work for another organization that is a direct competitor of their current employer during employment and usually for a specified length of time after employment ends", "thỏa thuận chính thức rằng người ký văn bản sẽ không làm việc cho bất kỳ tổ chức nào là đối thủ cạnh tranh trực tiếp của người sử dụng lao động hiện tại trong thời gian làm việc và thường trong một khoảng thời gian xác định sau khi chấm dứt quan hệ lao động", 7, "approved", ""
"nondisclosure agreement (nda)"                        , "thỏa thuận bảo mật (NDA)"                             , "thỏa thuận bảo mật (NDA)", "contract that carries harsh financial penalties should one party to the agreement disclose what they know of the proprietary information", "hợp đồng quy định các hình phạt tài chính nghiêm khắc nếu một bên trong thỏa thuận tiết lộ thông tin độc quyền mà họ biết", 7, "approved", ""
"open-ended nda"                                       , "open-ended NDA"                                       , "", "", "", 7, "approved", "Tên riêng, không dịch"
"packard"                                              , "Packard"                                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"patagonia"                                            , "Patagonia"                                            , "", "", "", 7, "approved", "Tên riêng, không dịch"
"patent"                                               , "patent"                                               , "", "", "", 7, "approved", "Tên riêng, không dịch"
"pitch"                                                , "bài thuyết trình gọi vốn (pitch)"                     , "bài thuyết trình gọi vốn (pitch)", "formal presentation in which you ask for something and that is delivered (usually) to potential investors in a startup", "bài trình bày chính thức trong đó bạn đưa ra một yêu cầu và thường được trình bày trước các nhà đầu tư tiềm năng của một startup", 7, "approved", ""
"pitch competition"                                    , "pitch competition"                                    , "", "", "", 7, "approved", "Tên riêng, không dịch"
"pitch competitions"                                   , ""                                                     , "", "", "", 7, "proposal", ""
"pitch deck"                                           , "pitch deck"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"pokémon go"                                           , "Pokémon GO"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"problem-solution narrative"                           , "câu chuyện vấn đề – giải pháp"                        , "câu chuyện vấn đề – giải pháp", "brief story of a sentence or two that states a problem affecting many people and offering a solution that is innovative, unique, insightful, or all of these", "câu chuyện ngắn (một hoặc hai câu) nêu ra một vấn đề ảnh hưởng đến nhiều người và đưa ra một giải pháp mang tính đổi mới, độc đáo, sâu sắc hoặc kết hợp các yếu tố này", 7, "approved", ""
"qualitative data"                                     , "Qualitative data"                                     , "", "", "", 7, "approved", "Tên riêng, không dịch"
"quantitative data"                                    , "Quantitative data"                                    , "", "", "", 7, "approved", "Tên riêng, không dịch"
"rose"                                                 , "Rose"                                                 , "", "", "", 7, "approved", "Tên riêng, không dịch"
"sba"                                                  , "SBA"                                                  , "", "", "", 7, "approved", "Tên riêng, không dịch"
"score"                                                , "SCORE"                                                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"shark tank"                                           , "Shark Tank"                                           , "", "", "", 7, "approved", "Tên riêng, không dịch"
"slack"                                                , "Slack"                                                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"slaughter"                                            , "Slaughter"                                            , "", "", "", 7, "approved", "Tên riêng, không dịch"
"smart goals"                                          , "SMART goals"                                          , "", "", "", 7, "approved", "Tên riêng, không dịch"
"spanx"                                                , "Spanx"                                                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"spark"                                                , "Spark"                                                , "", "", "", 7, "approved", "Tên riêng, không dịch"
"teach for america"                                    , "Teach for America"                                    , "", "", "", 7, "approved", "Tên riêng, không dịch"
"techstars"                                            , "TechStars"                                            , "", "", "", 7, "approved", "Tên riêng, không dịch"
"uber"                                                 , "Uber"                                                 , "", "", "", 7, "approved", "Tên riêng, không dịch"
"user interface (ui)"                                  , "giao diện người dùng (UI)"                            , "giao diện người dùng (UI)", "what a customer sees when they use your product; having a variant of a UI is not necessarily grounds for establishing a patent, but having unique design in the broad sense may help you to secure patent protection", "những gì khách hàng nhìn thấy khi họ sử dụng sản phẩm của bạn; việc có một biến thể của giao diện người dùng không nhất thiết là cơ sở để đăng ký bằng sáng chế, nhưng việc có thiết kế độc đáo theo nghĩa rộng có thể giúp bạn đạt được sự bảo hộ sáng chế", 7, "approved", ""
"value proposition"                                    , "giá trị đề xuất"                                      , "giá trị đề xuất", "summary describing the benefits (value) customers can expect from a particular product or service", "bản mô tả tổng hợp các lợi ích mà khách hàng có thể nhận được từ một sản phẩm hoặc dịch vụ", 7, "approved", ""
"venture capitalists"                                  , "Venture capitalists"                                  , "", "", "", 7, "approved", "Tên riêng, không dịch"
"vision statement"                                     , "vision statement"                                     , "", "", "", 7, "approved", "Tên riêng, không dịch"
"warby parker"                                         , "Warby Parker"                                         , "", "", "", 7, "approved", "Tên riêng, không dịch"
"wework"                                               , "WeWork"                                               , "", "", "", 7, "approved", "Tên riêng, không dịch"
"windows"                                              , "Windows"                                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"work-for-hire agreement"                              , "thỏa thuận làm thuê (work-for-hire)"                  , "thỏa thuận làm thuê (work-for-hire)", "agreement between an individual employee and a company states that ownership of innovations belongs to the company, even if an individual makes substantial contributions to the product", "thỏa thuận giữa một cá nhân (nhân viên) và một công ty quy định rằng quyền sở hữu đối với các sáng tạo thuộc về công ty, ngay cả khi cá nhân đó có đóng góp đáng kể vào sản phẩm", 7, "approved", ""
"wozniak"                                              , "Wozniak"                                              , "", "", "", 7, "approved", "Tên riêng, không dịch"
"y combinator"                                         , "Y Combinator"                                         , "", "", "", 7, "approved", "Tên riêng, không dịch"
"zappos"                                               , "Zappos"                                               , "", "", "", 7, "approved", "Tên riêng, không dịch"
