key,translation,options,desc_en,desc_vi,chapter,status,notes
"entrepreneur"                                                             , "doanh nhân/nhà khởi nghiệp"                                               , "doanh nhân/nhà khởi nghiệp", "someone who identifies an idea that no one else has acted on or identified; small business ownership and franchising are also entrepreneurial options", "người nhận diện một ý tưởng mà chưa ai phát hiện hoặc triển khai; việc sở hữu doanh nghiệp nhỏ hoặc nhượng quyền cũng được xem là các hình thức khởi nghiệp", 1, "approved", ""
"entrepreneurial mindset"                                                  , "entrepreneurial mindset"                                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"entrepreneurial spirit"                                                   , "entrepreneurial spirit"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"entrepreneurial venture"                                                  , "dự án khởi nghiệp"                                                        , "dự án khởi nghiệp", "any business, organization, project, or operation of interest that includes a level of risk in acting on an opportunity that has not previously been established", "bất kỳ hoạt động kinh doanh, tổ chức hoặc dự án nào có yếu tố rủi ro khi khai thác một cơ hội chưa từng được triển khai trước đó", 1, "approved", ""
"entrepreneurial vision"                                                   , "entrepreneurial vision"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"evernote"                                                                 , "Evernote"                                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"franchise"                                                                , "franchise"                                                                , "", "", "", 1, "approved", "Tên riêng, không dịch"
"franchisee"                                                               , "franchisee"                                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"gilboa"                                                                   , "Gilboa"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"global entrepreneurship index"                                            , "Global Entrepreneurship Index"                                            , "", "", "", 1, "approved", "Tên riêng, không dịch"
"harvest"                                                                  , "thoái vốn/hiện thực hóa giá trị"                                          , "thoái vốn/hiện thực hóa giá trị", "point at which the venture is sold, at which time the investors receive a return on their investment", "thời điểm doanh nghiệp được bán hoặc chuyển nhượng, khi đó các nhà đầu tư thu được lợi nhuận từ khoản đầu tư của mình", 1, "approved", ""
"hilton"                                                                   , "Hilton"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"huang"                                                                    , "Huang"                                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"illumination"                                                             , "illumination"                                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"incubation"                                                               , "incubation"                                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"libin"                                                                    , "Libin"                                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"lifestyle venture"                                                        , "doanh nghiệp phục vụ lối sống"                                            , "doanh nghiệp phục vụ lối sống", "business whose founders’ primary focus is the lifestyle they will attain through becoming entrepreneurs, rather than a primary interest in financial rewards", "doanh nghiệp mà mục tiêu chính của người sáng lập là đạt được phong cách sống mong muốn, thay vì tối đa hóa lợi nhuận tài chính", 1, "approved", ""
"luxottica"                                                                , "Luxottica"                                                                , "", "", "", 1, "approved", "Tên riêng, không dịch"
"marriott"                                                                 , "Marriott"                                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"mcdonalds"                                                                , "McDonalds"                                                                , "", "", "", 1, "approved", "Tên riêng, không dịch"
"mentor"                                                                   , "mentor"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"mind mapping"                                                             , "Mind mapping"                                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"miracle messages"                                                         , "Miracle Messages"                                                         , "", "", "", 1, "approved", "Tên riêng, không dịch"
"mission statement"                                                        , "tuyên bố sứ mệnh"                                                         , "tuyên bố sứ mệnh", "statement of an organization’s reason for being that defines its primary long-term goal, explains what the venture will do, what value it will provide to the end customer, and how it will accomplish that action", "tuyên bố về lý do tồn tại của tổ chức, xác định mục tiêu dài hạn, mô tả doanh nghiệp sẽ làm gì, tạo ra giá trị gì cho khách hàng và cách thức thực hiện", 1, "approved", ""
"my pasta art"                                                             , "My Pasta Art"                                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"opportunity-identifying perspective"                                      , "góc nhìn nhận diện cơ hội"                                                , "góc nhìn nhận diện cơ hội", "method for identifying a problem and determining how it could be translated into an opportunity to create a new venture", "phương pháp nhận diện vấn đề và chuyển hóa vấn đề đó thành cơ hội để xây dựng một doanh nghiệp mới", 1, "approved", ""
"preparation"                                                              , "Preparation"                                                              , "", "", "", 1, "approved", "Tên riêng, không dịch"
"quantifiable manner"                                                      , "cách thức đo lường được"                                                  , "cách thức đo lường được", "method to determine if a goal has been met or not", "phương pháp xác định liệu một mục tiêu đã được đạt hay chưa thông qua các chỉ số có thể đo lường", 1, "approved", ""
"quimby"                                                                   , "Quimby"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"ring"                                                                     , "Ring"                                                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"roomify"                                                                  , "Roomify"                                                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"schultz"                                                                  , "Schultz"                                                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"serial entrepreneur"                                                      , "doanh nhân khởi nghiệp liên tiếp"                                         , "doanh nhân khởi nghiệp liên tiếp", "entrepreneur who becomes involved in starting multiple entrepreneurial ventures", "doanh nhân tham gia khởi tạo nhiều dự án khởi nghiệp khác nhau", 1, "approved", ""
"sharkbot 3d printer"                                                      , "SharkBot 3D Printer"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"sharkits"                                                                 , "Sharkits"                                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"small business owner"                                                     , "small business owner"                                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"smart goals"                                                              , "mục tiêu SMART"                                                           , "mục tiêu SMART", "well-structured and defined goals that are specific, measurable, achievable, realistic and timely", "các mục tiêu được xác định rõ ràng, cụ thể, có thể đo lường, khả thi, thực tế và có thời hạn", 1, "approved", ""
"social entrepreneur"                                                      , "doanh nhân xã hội"                                                        , "doanh nhân xã hội", "entrepreneur who has an interest in solving a social, environmental, or economic problem", "doanh nhân tập trung giải quyết các vấn đề xã hội, môi trường hoặc kinh tế", 1, "approved", ""
"starbucks"                                                                , "Starbucks"                                                                , "", "", "", 1, "approved", "Tên riêng, không dịch"
"support network"                                                          , "support network"                                                          , "", "", "", 1, "approved", "Tên riêng, không dịch"
"the wander girls"                                                         , "The Wander Girls"                                                         , "", "", "", 1, "approved", "Tên riêng, không dịch"
"transparency international"                                               , "Transparency International"                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"uber"                                                                     , "Uber"                                                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"unesco global action programme on education for sustainable development"  , "UNESCO Global Action Programme on Education for Sustainable Development"  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"unesco’s global action programme on education for sustainable development", "UNESCO’s Global Action Programme on Education for Sustainable Development", "", "", "", 1, "approved", "Tên riêng, không dịch"
"value proposition"                                                        , "giá trị đề xuất"                                                          , "giá trị đề xuất", "summary describing the benefits (value) customers can expect from a particular product or service", "bản mô tả tổng hợp các lợi ích mà khách hàng có thể nhận được từ một sản phẩm hoặc dịch vụ", 1, "approved", ""
"venture capitalist"                                                       , "venture capitalist"                                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"verification"                                                             , "verification"                                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"vision"                                                                   , "Vision"                                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"vision statement"                                                         , "vision statement"                                                         , "", "", "", 1, "approved", "Tên riêng, không dịch"
"warby parker"                                                             , "Warby Parker"                                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"work-life balance"                                                        , "work-life balance"                                                        , "", "", "", 1, "approved", "Tên riêng, không dịch"
